block_size,nucleophilic,hydrophobic,aromatic,acidic,amide,basic
1.0,0.7732013716443793,0.6958751370416921,0.9043327893096068,0.8538925628653922,0.8817972220231443,0.8645726673061792
2.0,0.16576271806471674,0.20654047571109505,0.08478829318238933,0.11875347795182023,0.10339493230415935,0.1143564276398754
3.0,0.04648113292181679,0.06059065554591591,0.010012901489977289,0.02137625304236002,0.012896442670871195,0.01755852617510428
4.0,0.010437144143728263,0.023247421542586102,0.0007772657249170651,0.004017693769017576,0.0015401013417179906,0.0027410567046422143
5.0,0.0028228977860154636,0.008433206263883938,7.380287532265402e-05,0.0012178483513528668,0.0002546504198682222,0.0005530615764343225
6.0,0.0007120391669446595,0.00285989874132348,1.0276349728470814e-05,0.0004865364453177047,6.251896535686893e-05,0.00012327681910777224
7.0,0.00027436371570344677,0.001390316812967104,2.802640835037495e-06,0.00011455009245398252,2.3635218610523618e-05,7.07326011274103e-05
8.0,0.00016244073961489786,0.0006582014644982585,9.342136116791649e-07,8.621401695220789e-05,2.1347939390150365e-05,9.431013483654706e-06
9.0,8.797058820967659e-05,0.0002642170512975733,9.342136116791649e-07,3.858529430028885e-05,1.524852813582169e-06,7.410082022871555e-06
10.0,5.792122887072766e-05,0.000140469824740482,0.0,1.627817103293436e-05,7.624264067910845e-06,7.410082022871555e-06
