,Proteobacteria,Arthropoda,Cnidaria,Chordata,Stramenopiles,Echinodermata,Lophotrochozoa,Platyhelminthes
nucleophilic - hydrophobic,0.19890009165902842,0.1159058487874465,0.12031952071892162,0.12822324267043447,0.1267605633802817,0.12322064056939502,0.09746588693957114,0.11151603498542274
hydrophobic - acidic,0.10418576229758632,0.0702567760342368,0.05741387918122816,0.06181561285764747,0.07887323943661972,0.05604982206405694,0.024366471734892786,0.060495626822157436
nucleophilic - acidic,0.08463183623586923,0.14407988587731813,0.06839740389415876,0.07912398445778877,0.09014084507042254,0.09297153024911033,0.02631578947368421,0.08017492711370262
hydrophobic - hydrophobic,0.08279865566758325,0.039229671897289584,0.0619071392910634,0.05863652419639703,0.04225352112676056,0.03558718861209965,0.049707602339181284,0.03644314868804665
hydrophobic - amide,0.076993583868011,0.033523537803138374,0.05142286570144783,0.034263511126810316,0.03943661971830986,0.03202846975088968,0.02631578947368421,0.04008746355685131
nucleophilic - nucleophilic,0.06782768102658111,0.10057061340941512,0.08986520219670495,0.1070293182620982,0.0647887323943662,0.10231316725978648,0.10916179337231968,0.06997084548104957
nucleophilic - amide,0.04827375496486404,0.039586305278174035,0.04992511233150274,0.053691275167785234,0.03380281690140845,0.07028469750889679,0.0341130604288499,0.05539358600583091
hydrophobic - aromatic,0.04552398411243507,0.028530670470756064,0.06440339490763854,0.04521370540445072,0.059154929577464786,0.0498220640569395,0.10721247563352826,0.033527696793002916
nucleophilic - aromatic,0.04032997250229148,0.03281027104136947,0.06290564153769346,0.04344754503708937,0.061971830985915494,0.08941281138790036,0.1627680311890838,0.05102040816326531
acidic - acidic,0.040024442407577146,0.08594864479315265,0.017473789316025962,0.023313316849169905,0.028169014084507043,0.016903914590747332,0.012670565302144249,0.029154518950437316
hydrophobic - basic,0.036052551176290866,0.04529243937232525,0.07189216175736396,0.07311903920876016,0.09014084507042254,0.046263345195729534,0.04678362573099415,0.056851311953352766
acidic - amide,0.03360831041857623,0.04386590584878745,0.028457314028956564,0.025432709290003533,0.016901408450704224,0.024466192170818506,0.010721247563352826,0.029154518950437316
aromatic - acidic,0.029025358997861288,0.020328102710413694,0.034448327508736894,0.01942776404097492,0.04225352112676056,0.04359430604982206,0.01949317738791423,0.028425655976676383
nucleophilic - basic,0.021081576535288724,0.05920114122681883,0.044932601098352475,0.08901448251501236,0.0647887323943662,0.05738434163701068,0.06140350877192982,0.11151603498542274
aromatic - amide,0.02016498625114574,0.009985734664764621,0.03145282076884673,0.013422818791946308,0.011267605633802818,0.03870106761565836,0.025341130604288498,0.015306122448979591
acidic - basic,0.01924839596700275,0.05884450784593438,0.02695956065901148,0.04380077711056164,0.04225352112676056,0.024466192170818506,0.024366471734892786,0.05830903790087463
amide - amide,0.015887564925145127,0.005706134094151213,0.005991013479780329,0.007771105616389968,0.008450704225352112,0.010676156583629894,0.012670565302144249,0.0058309037900874635
amide - basic,0.012221203788573174,0.01925820256776034,0.028457314028956564,0.02719886965736489,0.022535211267605635,0.016903914590747332,0.018518518518518517,0.03644314868804665
aromatic - basic,0.010999083409715857,0.026034236804564907,0.046430354468297554,0.02401978099611445,0.03943661971830986,0.03113879003558719,0.049707602339181284,0.03717201166180758
aromatic - aromatic,0.007332722273143905,0.0046362339514978606,0.018472291562656017,0.008830801836806783,0.016901408450704224,0.025355871886120998,0.06432748538011696,0.008746355685131196
basic - basic,0.00488848151542927,0.016405135520684736,0.018472291562656017,0.0332038149063935,0.01971830985915493,0.012455516014234875,0.016569200779727095,0.04446064139941691
