,Total,Bacteria,Eukaryota,Archaea,Viruses,other sequences
nucleophilic - hydrophobic,0.13345257041423378,0.1469628063148788,0.1138124687875076,0.08688924691732201,0.0664748201438849,0.11121306661772802
hydrophobic - acidic,0.08244256425986939,0.09285999606940436,0.06631779803611144,0.12376972036561439,0.07798561151079136,0.06606716828775923
hydrophobic - hydrophobic,0.07352484586263182,0.08077530542645202,0.06260254484467999,0.07596229003493436,0.09410071942446044,0.06826940723068453
hydrophobic - basic,0.07187825955788671,0.07401426360212357,0.06898021996695072,0.04673866228524941,0.07741007194244605,0.06845292714259497
nucleophilic - acidic,0.06617323302142243,0.06549266964778133,0.06642429491334502,0.1302461356856865,0.04805755395683453,0.0629473297852817
hydrophobic - amide,0.06258662480007267,0.067823119022844,0.05496863725695367,0.042224313675445456,0.08719424460431655,0.053587814277849144
nucleophilic - nucleophilic,0.05968503695537436,0.052415810071114566,0.07089403149605991,0.036848569924548165,0.02474820143884892,0.0664342081115801
nucleophilic - basic,0.055346003784463214,0.04289330962804228,0.07435772496829075,0.02871317136977779,0.03338129496402878,0.0772618829142962
nucleophilic - amide,0.052365180541124844,0.04948651214930943,0.05692708350666809,0.032876581218395574,0.0460431654676259,0.05505597357313269
hydrophobic - aromatic,0.04439680807435176,0.045114735182313,0.04339630287476966,0.036385968830257305,0.0725179856115108,0.04624701780143146
acidic - basic,0.04290246581650249,0.041304509139156516,0.04513255435305007,0.056469237027229655,0.05266187050359712,0.03872270141310332
nucleophilic - aromatic,0.041839793029043976,0.037200857740997746,0.04890516707578564,0.03175995788734866,0.05064748201438849,0.056891172692237105
acidic - amide,0.03509061828751444,0.03615274237292954,0.033228396061103366,0.05771347445325336,0.03194244604316547,0.027895026610387227
amide - basic,0.029767992059025236,0.027753343777537156,0.03286740296989251,0.023050295905182726,0.037697841726618705,0.03156542484859607
aromatic - acidic,0.02880136689624436,0.03050215250319866,0.02604083567942952,0.04595702595351656,0.03050359712230216,0.02477518810790971
aromatic - basic,0.028501782368380312,0.025035051288795886,0.03375813971881301,0.022826971238973346,0.033093525179856115,0.04184253991558084
acidic - acidic,0.025157316902599536,0.02341756032075434,0.027442914052125914,0.05190703313180941,0.019568345323741007,0.026610387227014132
aromatic - amide,0.021858151045864454,0.022618269653728085,0.020451119988896135,0.04313356410215508,0.03107913669064748,0.020554230133969537
basic - basic,0.019719028785722185,0.014632535603254492,0.02747776045680896,0.00845443379221235,0.024172661870503598,0.031014865112864744
amide - amide,0.01499051237827384,0.01465001071328574,0.015543258385503425,0.010464355788096796,0.04086330935251799,0.011561754450357864
aromatic - aromatic,0.009519845159398193,0.008894439772098483,0.01047134460725459,0.007608990412991115,0.019856115107913668,0.013029913745641402
