,species,length
0,Bacteria,149
1,Bacteria,322
2,Bacteria,483
3,Bacteria,1037
4,Bacteria,1509
5,Bacteria,703
6,Bacteria,606
7,Bacteria,1532
8,Bacteria,426
9,Eukaryota,979
10,Eukaryota,979
11,Eukaryota,987
12,Eukaryota,593
13,Eukaryota,984
14,Bacteria,416
15,Bacteria,260
16,Bacteria,65
17,Bacteria,481
18,Bacteria,1007
19,Bacteria,738
20,Bacteria,740
21,Bacteria,669
22,Bacteria,815
23,Bacteria,881
24,Bacteria,183
25,Bacteria,418
26,Bacteria,891
27,Bacteria,547
28,Bacteria,694
29,Bacteria,735
30,Bacteria,724
31,Bacteria,698
32,Bacteria,728
33,Bacteria,951
34,Bacteria,3522
35,Bacteria,428
36,Bacteria,976
37,Bacteria,382
38,Bacteria,238
39,Bacteria,396
40,Eukaryota,254
41,Eukaryota,224
42,Bacteria,121
43,Bacteria,110
44,Bacteria,260
45,Bacteria,73
46,Bacteria,631
47,Bacteria,98
48,Eukaryota,201
49,Bacteria,1073
50,Bacteria,1028
51,Bacteria,572
52,Bacteria,869
53,Bacteria,326
54,Bacteria,332
55,Bacteria,326
56,Bacteria,326
57,Bacteria,326
58,Bacteria,326
59,Bacteria,326
60,Bacteria,326
61,Bacteria,333
62,Bacteria,333
63,Bacteria,326
64,Bacteria,329
65,Bacteria,329
66,Bacteria,106
67,Bacteria,69
68,Bacteria,222
69,Bacteria,179
70,Bacteria,1873
71,Bacteria,349
72,Bacteria,96
73,Bacteria,124
74,Bacteria,3630
75,Eukaryota,993
76,Eukaryota,202
77,Eukaryota,202
78,Eukaryota,198
79,Eukaryota,564
80,Eukaryota,730
81,Eukaryota,623
82,Eukaryota,127
83,Eukaryota,770
84,Eukaryota,92
85,Bacteria,997
86,Bacteria,407
87,Bacteria,379
88,Bacteria,430
89,Bacteria,426
90,Bacteria,1027
91,Bacteria,612
92,Bacteria,533
93,Bacteria,1798
94,Bacteria,277
95,Bacteria,202
96,Eukaryota,591
97,Eukaryota,377
98,Eukaryota,272
99,Eukaryota,2516
100,Eukaryota,620
101,Eukaryota,284
102,Eukaryota,302
103,Eukaryota,2556
104,Eukaryota,398
105,Eukaryota,315
106,Eukaryota,2564
107,Bacteria,700
108,Bacteria,1136
109,Bacteria,877
110,Bacteria,236
111,Bacteria,881
112,Bacteria,741
113,Bacteria,313
114,Bacteria,152
115,Bacteria,362
116,Bacteria,606
117,Bacteria,358
118,Bacteria,458
119,Bacteria,637
120,Bacteria,492
121,Eukaryota,346
122,Bacteria,600
123,Bacteria,2562
124,Bacteria,700
125,Bacteria,694
126,Bacteria,822
127,Bacteria,721
128,Bacteria,674
129,Bacteria,669
130,Bacteria,556
131,Bacteria,437
132,Bacteria,729
133,Bacteria,154
134,Bacteria,154
135,Bacteria,127
136,Bacteria,680
137,Eukaryota,1173
138,Eukaryota,955
139,Eukaryota,1032
140,Eukaryota,441
141,Eukaryota,392
142,Eukaryota,433
143,Eukaryota,338
144,Eukaryota,278
145,Eukaryota,338
146,Eukaryota,650
147,Eukaryota,278
148,Eukaryota,798
149,Eukaryota,1050
150,Eukaryota,1032
151,Eukaryota,331
152,Eukaryota,151
153,Eukaryota,830
154,Eukaryota,349
155,Eukaryota,1322
156,Eukaryota,257
157,Eukaryota,311
158,Eukaryota,482
159,Eukaryota,557
160,Eukaryota,548
161,Eukaryota,515
162,Eukaryota,2533
163,Eukaryota,2614
164,Eukaryota,677
165,Eukaryota,647
166,Eukaryota,643
167,Eukaryota,638
168,Eukaryota,637
169,Eukaryota,635
170,Eukaryota,634
171,Eukaryota,613
172,Eukaryota,600
173,Eukaryota,595
174,Eukaryota,595
175,Eukaryota,558
176,Eukaryota,468
177,Eukaryota,666
178,Eukaryota,339
179,Eukaryota,131
180,Eukaryota,122
181,Eukaryota,125
182,Eukaryota,136
183,Eukaryota,302
184,Eukaryota,346
185,Eukaryota,131
186,Eukaryota,121
187,Eukaryota,124
188,Eukaryota,149
189,Eukaryota,318
190,Eukaryota,121
191,Eukaryota,124
192,Eukaryota,143
193,Eukaryota,346
194,Eukaryota,131
195,Eukaryota,121
196,Eukaryota,117
197,Eukaryota,148
198,Eukaryota,346
199,Bacteria,525
200,Bacteria,3548
201,Bacteria,197
202,Bacteria,462
203,Bacteria,515
204,Bacteria,453
205,Bacteria,764
