,Proteobacteria,Arthropoda,Cnidaria,Chordata,Stramenopiles,Echinodermata,Lophotrochozoa,Platyhelminthes
nucleophilic - hydrophobic,0.1348643617503227,0.10220086787469912,0.10691906866301695,0.10326144892985031,0.10685935273763485,0.11443421949556919,0.0997340299665881,0.10098839707778255
small - hydrophobic,0.09170962786934583,0.07142367828636086,0.05524041949739463,0.0725302809314526,0.06696519438225117,0.05287150647580095,0.04414534647092787,0.05572267583440768
small - nucleophilic,0.08751364874655383,0.03734176168642653,0.04472000527669679,0.05760382898925732,0.06228373702422145,0.05828220858895705,0.048612885822188145,0.05729838132072769
small - acidic,0.06155571371263317,0.02479135810343158,0.027109029747378142,0.037108980664460306,0.05312436393242418,0.02931152010906612,0.013080803778478197,0.030368142099985677
hydrophobic - acidic,0.059363386573364256,0.04863074695334406,0.04554448914979223,0.05484103217636674,0.0673722776307755,0.04507498295841854,0.02653074746098002,0.048703624122618534
hydrophobic - hydrophobic,0.05686654981361666,0.07445438933416483,0.050029681419431433,0.07045111682891335,0.05149603093832689,0.043328220858895705,0.06245089966020199,0.06732559805185503
hydrophobic - amide,0.047644918331372556,0.05078035494516137,0.04729239496075457,0.04628936440328919,0.03277020150620802,0.041794478527607364,0.03805927061741015,0.03953588311130211
small - small,0.04709665888633335,0.0166110367016037,0.021238704570938592,0.022114690390700333,0.02503561978424588,0.0190865712338105,0.0333267077453124,0.02263286062168744
nucleophilic - acidic,0.04644215862854836,0.035655146185154474,0.04907328012664072,0.04051987582354927,0.04457561571341339,0.06292603953646898,0.024855420204257413,0.04555221314997851
small - amide,0.045072398317060246,0.01978584235105697,0.031429325242398255,0.02837984297041441,0.022593120293099938,0.03139911383776414,0.01566478310664357,0.02205987680848016
nucleophilic - nucleophilic,0.03587492862500582,0.04289530936638533,0.04897434206186927,0.047565774915646265,0.039283533482597194,0.057685753237900476,0.08355813006975797,0.041111588597622116
hydrophobic - basic,0.03375970602207748,0.07434336562469734,0.05715322208297606,0.05777948181205875,0.06391207001831875,0.04021813224267212,0.06571636804194944,0.0700472711645896
nucleophilic - amide,0.03362326297159462,0.03010868512494892,0.03660708396543764,0.03512228666863721,0.018318746183594546,0.0434560327198364,0.03531438415159346,0.034379028792436615
hydrophobic - aromatic,0.02518475774785111,0.04168349738858062,0.034133632346151306,0.034605221290252765,0.04152249134948097,0.047460804362644854,0.049710840408514825,0.03294656925941842
acidic - amide,0.0243529525885272,0.01770473835018768,0.018798232306576082,0.019364411365181813,0.015672705068186445,0.01819188820722563,0.00898240433124154,0.01475433319008738
small - basic,0.024135851797264105,0.030297661651702088,0.036936877514675816,0.035211930178204835,0.03317728475473234,0.025051124744376277,0.04715525645758204,0.04354676980375304
nucleophilic - aromatic,0.02127943074822313,0.041357512879931405,0.038058175582085615,0.028772336174467266,0.03154895176063505,0.0570040899795501,0.055352055352055354,0.03137086377309841
nucleophilic - basic,0.016287533830947772,0.04453231852938467,0.06038519886551019,0.04734227184111617,0.029717077142275596,0.028928084526244034,0.05919489640419873,0.060163300386764075
small - aromatic,0.016259463515874473,0.02883545577594943,0.028856935558340478,0.02498005230012324,0.030124160390799917,0.02880027266530334,0.05031660845614334,0.03137086377309841
acidic - basic,0.016026728625076883,0.029307897092832356,0.02582283490534925,0.025892235579912746,0.02381437003867291,0.017297205180640762,0.014841317166898562,0.02922217447357112
aromatic - acidic,0.014155255846709075,0.019717338360108944,0.018468438757337908,0.01282770355941265,0.03724811723997558,0.03672460804362645,0.014226083993525854,0.017905744162727402
aromatic - amide,0.013184520393794542,0.01974096042595309,0.01609392520282303,0.01110267169962479,0.014247913698351313,0.01819188820722563,0.017955343536738885,0.008594757198109154
acidic - acidic,0.012832397833824446,0.01491261016740958,0.013620473583536706,0.01637225638366776,0.020761245674740483,0.01307941376959782,0.006048215350540932,0.015900300816501935
amide - basic,0.009835980529860953,0.021465371232575775,0.023382362640986743,0.018727215607984894,0.013637288825564827,0.013803680981595092,0.017510482626761695,0.020484171322160148
aromatic - basic,0.009670756523416861,0.024784271483678334,0.02701009168260669,0.02076599975125945,0.02177895379605129,0.0190865712338105,0.0322666136619625,0.019624695602349234
amide - amide,0.007996841911894032,0.011938592077631557,0.008310797440802058,0.008784660138034852,0.0036637492367189092,0.01495398773006135,0.007193495565588589,0.007592035524996419
basic - basic,0.0037596456176020063,0.01800710079299275,0.022030209089110218,0.015683778078204674,0.019132912680643193,0.009671097477845943,0.023236883701999982,0.024924795874516546
aromatic - aromatic,0.0036505622413045094,0.006692131253646656,0.006760767759382626,0.005999250547956047,0.009362914716059434,0.011886503067484663,0.004959725889958448,0.005873084085374588
