,Total,Bacteria,Eukaryota,Archaea,Viruses,other sequences
hydrophobic - hydrophobic,0.18968251153179488,0.20768729804124944,0.16229583677605403,0.15626961054262772,0.16961045245584322,0.1738699163950687
nucleophilic - hydrophobic,0.16487685999629884,0.17259504527865321,0.15338703618038757,0.1346259749241192,0.07645777885313332,0.15105568938642483
hydrophobic - acidic,0.10416081648546385,0.112543283998883,0.09035573872901276,0.17763149469154618,0.0854101137188483,0.08714751310755278
hydrophobic - basic,0.08665173476603781,0.08198667570909961,0.09425154764484005,0.052290511378917305,0.09654004355189935,0.10060932407538614
hydrophobic - amide,0.078742600919653,0.08178651214744485,0.07428048036701534,0.05788712011577424,0.10597628841035567,0.07198526285957206
hydrophobic - aromatic,0.05782605650584011,0.05591684286113217,0.06082790485239473,0.050625616331339725,0.09242680861359787,0.069434603939351
nucleophilic - acidic,0.0388442798039771,0.037826225715083574,0.040025345409796506,0.0715648732758731,0.03798693443019598,0.0376930707099334
nucleophilic - nucleophilic,0.0346945378884282,0.027723102086408425,0.04563206194339258,0.020939256944533382,0.01863053472054198,0.04350290491710358
nucleophilic - basic,0.03365639481739034,0.025643276020265688,0.04621238060398136,0.018608403877924774,0.024679409629808857,0.04435312455717727
nucleophilic - amide,0.030050866541435906,0.0277677823433199,0.03369299940920294,0.02023487827055825,0.03484151947737721,0.03046620376930707
acidic - basic,0.0260196387835413,0.024890294012047714,0.02757484431095095,0.04153272799456988,0.03726106944108396,0.022247413915261444
nucleophilic - aromatic,0.02575454766464179,0.02254118961184027,0.030755348069461955,0.021605214963564413,0.03605129445923058,0.032591752869491286
acidic - amide,0.021161160525800585,0.02118442573901943,0.020903182938446466,0.039944674256880495,0.023711589644326157,0.016012469888054413
amide - basic,0.018238533950963923,0.017047712131487612,0.020096808124091422,0.016213516386409332,0.02734091458988628,0.018421425534929856
aromatic - basic,0.017959893195137473,0.015767443252084415,0.021359918071209384,0.016123868191539773,0.020324219695136706,0.025364885928864957
aromatic - acidic,0.016341645001800898,0.017394682251565804,0.014543099986470532,0.030429158715725574,0.024195499637067505,0.013603514241178971
acidic - acidic,0.015019079996514431,0.012837395779311445,0.01823812419312438,0.02750918893997413,0.013549479796757804,0.017287799348164944
aromatic - amide,0.013361748628219702,0.01379931782822037,0.012499348952113387,0.028546546623464775,0.02105008468424873,0.012186481507722828
basic - basic,0.012372625132553087,0.00923395300594407,0.017292756433508825,0.005814325781540156,0.01572707476409388,0.017996315714893015
amide - amide,0.00884851511937742,0.00836857222643316,0.009604381698666377,0.0068772972349935325,0.026373094604403582,0.007226866940626329
aromatic - aromatic,0.005735952745129342,0.005458969960505844,0.006170855305878477,0.004725740558124048,0.011855794822163078,0.0069434603939351
