,Proteobacteria,Arthropoda,Cnidaria,Chordata,Stramenopiles,Echinodermata,Lophotrochozoa,Platyhelminthes
nucleophilic - hydrophobic,0.1963234321472247,0.13025444340001238,0.1356370832699041,0.14082274459295457,0.14846209736013563,0.14544472805811898,0.12828951001071195,0.13722212936653852
hydrophobic - acidic,0.09968765775712894,0.06308968140034098,0.06066372355000761,0.07668313878841419,0.09518043109711795,0.0604260750049087,0.03466478195090168,0.06401470834029752
hydrophobic - hydrophobic,0.08971808210524611,0.10002127768455699,0.0651545136246004,0.09556887018411356,0.07168806006296924,0.05944433536226193,0.07897032676995792,0.08540865786394786
hydrophobic - amide,0.07780930295757779,0.06435018220700763,0.06401278733444969,0.06386310410217831,0.04674255267619278,0.055811898684468876,0.048259030622950096,0.05214775196389771
nucleophilic - acidic,0.07445776540766917,0.04604868011021302,0.06340386664636931,0.05773873392150915,0.06539113586824898,0.08187708619674063,0.033538369794485,0.060337623265920105
nucleophilic - nucleophilic,0.06722242169172334,0.05279828485702204,0.062186025270208556,0.06336426082472096,0.05715669653669169,0.07593756135872766,0.10592691572891014,0.05599197726892863
nucleophilic - amide,0.05773157284251238,0.03863919780435843,0.04970315116456082,0.050511920097659264,0.025187696778881084,0.06219320636167289,0.046326460746745,0.045127862276449944
hydrophobic - basic,0.050799932690291656,0.09397195116367388,0.07603897092403715,0.07805709570118242,0.0835553402760959,0.05149224425682309,0.08501098804015328,0.09059000501420691
acidic - amide,0.04019235458898335,0.02254357211923045,0.02454711523824022,0.026809975630318172,0.024461128602567207,0.024347143137639898,0.011440813667134165,0.01988968744776868
hydrophobic - aromatic,0.03696409818938684,0.06161101699252049,0.04833307961637997,0.04969286694495787,0.056672317752482444,0.06165324955821716,0.06941790995328702,0.04830352665886679
nucleophilic - aromatic,0.031317461560127456,0.05175594765150923,0.0501598416806211,0.03902854785059121,0.044805037539355774,0.07387590810916944,0.07381312601459919,0.046464984121678085
acidic - basic,0.028143196905193197,0.03819479046867467,0.03478459430659157,0.036972125825377775,0.03947687091305401,0.024690752012566267,0.020087683456097533,0.04145077720207254
nucleophilic - basic,0.0270881082282519,0.05751438937085388,0.07721875475719288,0.06489951039720039,0.04432065875514653,0.03823875908109169,0.07800956346007311,0.07955874979107472
acidic - acidic,0.024391670513578472,0.019642804237221943,0.017506469782310855,0.022135339031707193,0.030031484620973603,0.016836834871392106,0.0077744525305622125,0.021728229984957378
aromatic - acidic,0.022192856712208702,0.025282737333717588,0.02625970467346628,0.02023949703295145,0.052555098086703805,0.0465344590614569,0.018420151734343422,0.0255724552899883
aromatic - amide,0.01962824884075225,0.026168858627293075,0.023138986147054345,0.015660828379146546,0.021070477113102445,0.024003534262713528,0.02440559672236149,0.014039779374895537
amide - basic,0.016075142110771264,0.027345864722407017,0.03345258030141574,0.026600936542621762,0.01961734076047469,0.019487531906538385,0.023522136207524875,0.030252381748286813
amide - amide,0.014385200502843115,0.015058675235199217,0.012330643933627644,0.012136856940537169,0.005570356018406394,0.02042018456705282,0.009287378662219915,0.009694133377904061
aromatic - basic,0.014287115500040044,0.033026198485783004,0.03702998934388796,0.028419339061162698,0.030031484620973603,0.02984488513646181,0.057159895309928994,0.02757813805783052
basic - basic,0.006013330561757108,0.023604762969287412,0.029266250570863146,0.02198782394823052,0.024461128602567207,0.012419006479481642,0.033284374896469474,0.036102289821159955
aromatic - aromatic,0.005571048186732249,0.00907668315911668,0.009171867864210686,0.008806484202464809,0.013562605957859046,0.015020616532495583,0.012390533720583526,0.008524151763329433
