,names,counts
0,Bacteria,15579
1,Eukaryota,8936
2,Firmicutes,8306
3,Metazoa,7317
4,Chordata,6080
5,Craniata,6061
6,Vertebrata,6061
7,Euteleostomi,6040
8,Bacilli,4441
9,Clostridia,3472
10,Clostridiales,3434
11,Lactobacillales,3375
12,Actinobacteria,3347
13,Lactobacillaceae,3228
14,Lacticaseibacillus,3193
15,Proteobacteria,3187
16,Mammalia,2785
17,Eutheria,2742
18,Gammaproteobacteria,2117
19,Peptostreptococcaceae,1650
20,Euarchontoglires,1574
21,Micrococcales,1525
22,Actinopterygii,1444
23,Neopterygii,1426
24,Teleostei,1415
25,Alveolata,1393
26,Apicomplexa,1365
27,Clostridiaceae,1259
28,Sar,1259
29,Clostridium,1202
30,Clostridioides,1099
31,Laurasiatheria,1072
32,Bacillales,1066
33,Microbacteriaceae,1050
34,Aconoidasida,1031
35,Archelosauria,981
36,Archosauria,910
37,Neoteleostei,880
38,Acanthomorphata,880
39,Dinosauria,877
40,Saurischia,877
41,Theropoda,877
42,Coelurosauria,877
43,Aves,877
44,Primates,839
45,Haplorrhini,795
46,Haemosporida,794
47,Plasmodiidae,794
48,Neognathae,793
49,Plasmodium,793
50,Bacillaceae,786
51,Ecdysozoa,785
52,Lepidosauria,770
53,Squamata,770
54,Bifurcata,770
55,Arthropoda,758
56,Catarrhini,732
57,Pseudomonadales,725
58,Pseudomonadaceae,713
59,Pseudomonas,713
60,Glires,711
61,Rodentia,683
62,Bacteroidetes,664
63,Gekkota,652
64,Enterobacterales,629
65,Alphaproteobacteria,559
66,Enterobacteriaceae,546
67,Flavobacteriia,537
68,Flavobacteriales,537
69,Actinomycetales,523
70,Actinomycetaceae,523
71,Hominidae,507
72,Peptococcaceae,495
73,Gekkonidae,488
74,Mus,480
75,Gekkoninae,475
76,Myomorpha,472
77,Artiodactyla,471
78,Muroidea,460
79,Flavobacteriaceae,456
80,Mobiluncus,456
81,Bacillus,454
82,Escherichia,428
83,Hexapoda,409
84,Caulobacterales,409
85,Caulobacteraceae,409
86,Insecta,398
87,Pterygota,398
88,Neoptera,398
89,Plasmodium (Plasmodium),391
90,Tissierellia,387
91,Ovalentaria,378
92,Tissierellales,370
93,Peptoniphilaceae,366
94,Homo,363
95,Muridae,360
96,Spiralia,353
97,Lophotrochozoa,353
98,Murinae,353
99,Nitriliruptoria,337
100,Finegoldia,335
101,Conoidasida,334
102,Coccidia,334
103,Eucoccidiorida,334
104,Eimeriorina,334
105,Plasmodium (Laverania),334
106,Deltaproteobacteria,329
107,Peptostreptococcus,318
108,Carnivora,317
109,Euzebyales,297
110,Eupercaria,284
111,Protacanthopterygii,262
112,Desulfosporosinus,260
113,Propionibacteriales,259
114,Myxococcales,252
115,Mollusca,250
116,Salmoniformes,247
117,Salmonidae,247
118,Salmoninae,247
119,Holometabola,238
120,Piroplasmida,237
121,Babesiidae,234
122,Babesia,234
123,Crustacea,224
124,Cetacea,222
125,Whippomorpha,213
126,Cercopithecidae,212
127,Bivalvia,208
128,Autobranchia,208
129,Pteriomorphia,208
130,Ornithinimicrobiaceae,208
131,Ostariophysi,206
132,Vibrionales,194
133,Vibrionaceae,194
134,Odontoceti,191
135,Propionibacteriaceae,190
136,Passeriformes,186
137,Rathayibacter,184
138,Brevundimonas,183
139,Vibrio,180
140,Atherinomorphae,178
141,Cercopithecinae,176
142,Chiroptera,175
143,Cutibacterium,171
144,Multicrustacea,171
145,Alteromonadales,166
146,Galloanserae,166
147,Ruminantia,165
148,Pecora,165
149,Sarcocystidae,164
150,Archaea,161
151,Desulfitobacterium,160
152,Betaproteobacteria,159
153,Caniformia,159
154,Herbiconiux,159
155,Feliformia,158
156,Cyprinodontiformes,147
157,Cystobacterineae,147
158,Planococcaceae,147
159,Galliformes,146
160,Perciformes,145
161,Oceanospirillales,142
162,Caulobacter,142
163,Microchiroptera,138
164,Felidae,134
165,Bovidae,133
166,Kineosporiales,132
167,Kineosporiaceae,132
168,Ornithinimicrobium,131
169,Hystricomorpha,130
170,Cypriniformes,129
171,Bovinae,129
172,Leifsonia,128
173,Chelicerata,125
174,Mytiloida,125
175,Mytiloidea,125
176,Mytilidae,125
177,Mytilinae,125
178,Oncorhynchus,125
179,Cellvibrionales,124
180,Mytilus,120
181,Burkholderiales,119
182,Microbacterium,119
183,Viridiplantae,118
184,Arachnida,118
185,Unidentata,118
186,Streptophyta,117
187,Embryophyta,117
188,Tracheophyta,117
189,Episquamata,117
190,Cichlomorphae,117
191,Cichliformes,117
192,Cichlidae,117
193,Spermatophyta,116
194,Streptomycetales,116
195,unclassified Euzebya,116
196,Coriobacteriia,115
197,Streptomycetaceae,114
198,Vespertilionidae,113
199,Myxococcaceae,109
200,Streptomyces,109
201,Malacostraca,108
202,Eumalacostraca,108
203,Phasianidae,108
204,unclassified Desulfosporosinus,108
205,Toxoplasma,107
206,eudicotyledons,106
207,Gunneridae,106
208,Pentapetalae,106
209,Romboutsia,105
210,Magnoliopsida,105
211,Poeciliidae,105
212,Poeciliinae,105
213,African cichlids,105
214,Pseudocrenilabrinae,105
215,Streptococcaceae,105
216,Cryptosporidiidae,102
217,Cryptosporidium,102
218,Streptococcus,100
219,Eggerthellales,99
220,Eggerthellaceae,99
221,Intrasporangiaceae,98
222,Eucarida,96
223,Decapoda,96
224,Klebsiella,96
225,Halobacillus,94
226,unclassified Herbiconiux,93
227,Salmo,92
228,Dendrobranchiata,92
229,Penaeoidea,92
230,Penaeidae,92
231,Penaeus,92
232,Bos,92
233,Lepidoptera,91
234,Glossata,91
235,Ditrysia,91
236,Bifidobacteriales,90
237,Bifidobacteriaceae,90
238,Toxicofera,90
239,Bifidobacterium,89
240,Annelida,87
241,Polychaeta,87
242,Sedentaria,87
243,Canalipalpata,87
244,Sabellida,87
245,Sabellariidae,87
246,Catenulisporales,86
247,Catenulisporaceae,86
248,Catenulispora,86
249,Diptera,85
250,Paraneoptera,85
251,Palaeognathae,84
252,Araneae,84
253,Araneomorphae,84
254,Entelegynae,84
255,Sabellaria,84
256,Fungi,83
257,Cricetidae,83
258,Peptacetobacter,83
259,Rattus,82
260,Euryarchaeota,82
261,Hemiptera,81
262,Afrotheria,80
263,Carangaria,80
264,Sorangiineae,80
265,Planococcus,80
266,Pygopoidea,79
267,Macaca,79
268,Dikarya,78
269,Agromyces,77
270,Serinicoccus,77
271,Ascomycota,76
272,Weeksellaceae,76
273,Thaumarchaeota,76
274,Delphinidae,76
275,Felinae,75
276,Bathyergidae,74
277,Kineococcus,72
278,Testudines,71
279,Cryptodira,71
280,unclassified Caulobacter,71
281,Corynebacteriales,71
282,Tylopoda,70
283,Camelidae,70
284,Polyangiaceae,70
285,Hymenoptera,69
286,Alteromonadaceae,69
287,unclassified Brevundimonas,69
288,Eimeriidae,68
289,Pectinida,68
290,Pectinoidea,68
291,Pectinidae,68
292,Nocardioidaceae,67
293,Nitrosopumilales,67
294,Nitrosopumilaceae,67
295,Chryseobacterium group,67
296,Flavobacterium,66
297,Cyprinidae,66
298,Burkholderiaceae,66
299,Pan,66
300,Apocrita,65
301,Maricaulales,65
302,Maricaulaceae,65
303,Perissodactyla,65
304,Nocardioides,65
305,Hexanauplia,64
306,Chryseobacterium,63
307,Eimeria,63
308,Brachycera,62
309,Micrococcaceae,62
310,Pongo,62
311,Alcanivoracaceae,61
312,Cytophagia,61
313,Cytophagales,61
314,Sternorrhyncha,61
315,Diplodactylidae,61
316,Haplochromini,61
317,Percoidei,61
318,Percidae,61
319,Camelus,60
320,Myotis,60
321,Quadrisphaera,60
322,Callithrix,60
323,Alkalihalobacillus,59
324,Poecilia,59
325,Plasmodium (Vinckeia),59
326,Platyrrhini,58
327,Burkholderia,58
328,Micromonosporales,57
329,Micromonosporaceae,57
330,Aculeata,57
331,Araneoidea,57
332,Amphibia,56
333,Agrococcus,56
334,Equidae,56
335,Equus,56
336,Monodontidae,56
337,Burkholderia cepacia complex,55
338,Capnocytophaga,55
339,Gekko,55
340,Yersiniaceae,55
341,Mizuhopecten,55
342,Alcanivorax,54
343,Cnidaria,53
344,asterids,53
345,Pachydactylus,53
346,Muscomorpha,52
347,Anabantaria,52
348,Branchiopoda,52
349,Diplostraca,52
350,Cladocera,52
351,Anomopoda,52
352,Daphniidae,52
353,Daphnia,52
354,Anthozoa,51
355,Xenopus,51
356,lamiids,51
357,Cricetinae,51
358,Dehalobacter,51
359,unclassified Quadrisphaera,51
360,Serpentes,50
361,Staphylococcaceae,50
362,rosids,49
363,Durocryptodira,49
364,Aphidomorpha,49
365,Aphidoidea,49
366,Aphididae,49
367,Yersinia,49
368,Sciuromorpha,48
369,Sciuridae,48
370,Xerinae,48
371,Marmotini,48
372,Pleuronectiformes,48
373,Pleuronectoidei,48
374,Mycobacteriaceae,48
375,Danionidae,48
376,Danioninae,48
377,Danio,48
378,Sciaenidae,47
379,Nitrosopumilus,47
380,Solanales,47
381,Phasianinae,47
382,Pelecaniformes,47
383,Leucobacter,46
384,Heterocephalus,46
385,Saccharomycotina,45
386,Saccharomycetes,45
387,Saccharomycetales,45
388,Eptesicus,45
389,Bradymonadales,45
390,Bradymonadaceae,45
391,Phyllodactylidae,44
392,Asticcacaulis,44
393,Thermoactinomycetaceae,44
394,Cryobacterium,44
395,Thermococci,44
396,Thermococcales,44
397,Thermococcaceae,44
398,Tetraodontiformes,44
399,Tetradontoidea,44
400,Tetraodontidae,44
401,Theridiidae,43
402,Parasteatoda,43
403,Strepsirrhini,43
404,Corallococcus,43
405,Myxococcus,43
406,Staphylococcus,43
407,Hexacorallia,42
408,Endopterygota,42
409,Buchananella,42
410,Colwelliaceae,42
411,Caprimulgimorphae,41
412,Testudinoidea,41
413,Siluriformes,41
414,Solanaceae,41
415,Passeroidea,40
416,Paridae,40
417,Cebidae,40
418,Gruiformes,40
419,Iguania,40
420,Gallus,40
421,Metatheria,40
422,Egibacterales,40
423,Egibacteraceae,40
424,Egibacter,40
425,Spongiibacteraceae,40
426,Otariidae,39
427,Papio,39
428,Marinobacter,39
429,Cirripedia,38
430,Thoracica,38
431,Colubroidea,38
432,Echinodermata,37
433,Accipitriformes,37
434,Megachiroptera,37
435,Pteropodidae,37
436,Pteropodinae,37
437,Bogoriellaceae,37
438,Georgenia,37
439,Xiphophorus,37
