,tname,S,T,C,V,L,I,M,P,G,A,F,Y,W,D,E,N,Q,H,K,R,B,J,Z
0,Bacteria,7.754564604294081,8.697338938112491,0.6218146252552432,8.08340093017772,7.617694686380183,5.554269893338055,1.2923228771819275,4.315778866010076,9.134964194749811,10.037220253123213,2.785833082230889,3.183049599188718,0.844849359444801,7.221941965561557,4.7442130761407,5.910629569757454,3.001658371489951,1.081904671620737,4.994143819663502,3.122376742888291,1.9915593730650756e-05,9.957796865325378e-06,0.0
1,Proteobacteria,8.182146965323406,11.593871126997259,0.7972887073126323,8.877999992191794,6.828807591278803,4.6846035330707645,0.8543595870027461,4.1047023494533725,11.209317034060454,9.794718743134547,2.176714584200665,2.482050888910894,0.6969887657676939,8.532806350484055,3.837484281551093,6.599388333619043,2.882931228525218,0.8546790135681758,2.8077595101274193,2.2013459215793585,3.54918406033045e-05,0.0,0.0
2,Betaproteobacteria,7.060883758097149,8.511144737065814,0.42334699151605826,8.018090007990887,7.5182345240321675,4.493598789465631,1.220735501640682,3.7489161296903957,10.544570447319652,11.051226686162163,2.363262322117755,2.363262322117755,1.283642484315759,6.6341363891391945,3.8237244334121088,6.60353299216213,3.390176309570362,1.4927656969923662,4.435792372953398,5.01895710423857,0.0,0.0,0.0
3,Burkholderiales,6.526844721175379,7.504505980665247,0.5980665246600033,7.703861488885248,8.392047626850182,4.377628488721394,1.2507509967775412,5.011196679228795,10.268174122016495,12.073297285488012,2.512425583046589,2.531541864656726,1.2507509967775412,6.638811513463324,3.45458517668906,5.39898410617729,3.8314490141460484,1.8597411109290514,2.4878475066906987,6.327489212955377,0.0,0.0,0.0
4,Firmicutes,7.667801898354004,7.115764290880018,0.3230351881136571,7.460441569056224,8.115713354507529,7.097549256293752,1.7151708469310367,3.5025445886911393,7.235711232549892,8.420064048380635,3.130239609860249,3.8011209288165366,0.7300332353962251,6.349535716138403,5.709779572261225,6.548962177278763,3.0634120280727486,1.1737665006266114,7.848356081392098,2.9909978763992537,0.0,0.0,0.0
5,Bacilli,6.71709945594416,6.862498082017734,0.2610720657419208,7.436165869937305,9.038664823893841,6.296587152264861,2.1441201599611364,4.0751815076501305,7.301808027385673,9.203483905085498,3.739485069180417,3.6502528905620553,0.9346730993857361,6.152151056036789,5.663412372132156,4.964049510270477,3.961999321699556,1.8347517437360539,6.039535064112981,3.723008823001519,0.0,0.0,0.0
6,Bacillales,7.758147320833578,6.958075883503841,0.09689354238526045,7.858106271024699,7.938206709777851,6.088166459640575,1.605740575870176,4.101515644242098,7.907152795918476,9.19489063158063,3.2370706429892793,4.050469940344499,0.7462268828267858,6.394174125825661,6.8022731998059465,5.603698747714272,3.0212925891767113,1.3960933376693305,6.242769635936176,2.999035062934155,0.0,0.0,0.0
7,Bacillaceae,7.524229437095962,6.7823581605840415,0.09558166065427189,7.948865524482951,8.03999355937197,6.13829535760902,1.6007358760110586,4.043207021654899,7.877264925641579,9.015851481858327,3.313326276049428,4.1459830008530405,0.7418712765119203,6.463581331771138,7.014631873571842,5.644970657457939,2.9573788014265308,1.3465366207943212,6.322264360373693,2.983072796226066,0.0,0.0,0.0
8,Bacillus,7.687791613880048,6.702407069801934,0.10011432809072089,7.937150449587492,8.091338874640794,6.17680684732565,1.6889657942712357,4.0119889997837035,7.952600191576801,8.958069400241016,3.4023421808855794,4.15041868800791,0.7261378734975126,6.2747582115378675,6.758026140963446,5.702190773414084,2.8467694589500354,1.3669931712140406,6.572938231931527,2.8921917003986035,0.0,0.0,0.0
9,Eukaryota,8.410860305877165,6.992177106962217,4.34788630160448,5.664407321638208,7.298971407362109,4.186602705151088,1.5175523056044857,6.883167184504834,8.059640307265179,6.3145428684905465,3.1148154240730657,3.4258106997455253,1.0724489731539215,5.418027046586661,6.065054179501057,4.9122019250315185,4.117078872618274,2.8558014468281945,4.745409357341574,4.5972826614671005,0.0001077173146812083,0.0001077173146812083,4.6164563434803554e-05
10,Clostridia,8.496475918970141,7.37745731209664,0.3763439631108845,7.489752388442203,7.530537082294093,7.780869143772904,1.4063860966258896,3.0232340158978004,7.347097405462497,7.979397328419662,2.626543428611926,3.9176167473292196,0.5844739254581991,6.522579037490369,5.572231658889989,7.697379400529012,2.3568249207281804,0.6648087988861938,8.827005685624082,2.422985741360115,0.0,0.0,0.0
11,Clostridiales,8.502596989415974,7.375570172355751,0.3771553717357286,7.485396558804053,7.533858896908399,7.786205250949825,1.4051765915808712,3.0221446989231002,7.340102029869078,7.962436138846448,2.628526929892384,3.9186517111644648,0.5833515221243522,6.514207603777843,5.572521484353324,7.715453936732603,2.3564811903238096,0.6664496343128151,8.83249233296216,2.4212209549670196,0.0,0.0,0.0
