,tname,hydrophobic,nucleophilic,aromatic,acidic,amide,basic
0,Bacteria,41.50,40.96,0.00,17.54,0.00,0.00
1,Proteobacteria,49.83,25.89,0.00,17.24,7.03,0.00
2,Betaproteobacteria,30.26,50.80,0.00,12.87,6.07,0.00
3,Burkholderiales,42.11,45.56,0.00,6.20,6.13,0.00
4,Firmicutes,58.70,12.83,0.00,11.63,9.02,7.83
5,Bacilli,50.00,23.50,0.00,9.67,0.00,16.83
6,Bacillales,50.34,22.05,8.75,18.86,0.00,0.00
7,Bacillaceae,50.80,21.47,0.00,19.39,0.00,8.33
8,Bacillus,41.43,18.83,7.92,22.21,0.00,9.61
9,Eukaryota,31.94,39.65,0.00,8.57,0.00,19.84
10,Clostridia,50.00,23.02,0.00,18.04,0.00,8.95
11,Clostridiales,58.14,15.19,0.00,10.49,7.32,8.86
12,Peptostreptococcaceae,58.30,12.50,6.45,10.66,0.00,12.09
13,Bacteroidetes,58.54,11.74,8.62,10.84,10.26,0.00
14,Flavobacteriia,40.00,21.31,8.28,21.21,9.19,0.00
15,Flavobacteriales,40.00,21.31,8.28,21.21,9.19,0.00
16,Flavobacteriaceae,45.18,22.35,9.50,22.97,0.00,0.00
17,Actinobacteria,40.39,41.68,0.00,17.92,0.00,0.00
18,Propionibacteriales,48.93,24.11,0.00,16.98,0.00,9.98
19,Propionibacteriaceae,50.20,22.21,0.00,19.32,0.00,8.27
20,Cutibacterium,51.30,20.78,0.00,8.66,0.00,19.26
21,Gammaproteobacteria,50.46,25.78,0.00,16.50,7.26,0.00
22,Metazoa,22.37,51.25,0.00,8.60,0.00,17.78
23,Ecdysozoa,9.02,59.14,0.00,25.14,0.00,6.70
24,Arthropoda,18.01,44.62,0.00,37.37,0.00,0.00
25,Hexapoda,22.16,40.70,0.00,37.14,0.00,0.00
26,Insecta,28.52,45.23,0.00,18.30,0.00,7.94
27,Pterygota,28.52,45.23,0.00,18.30,0.00,7.94
28,Neoptera,28.52,45.23,0.00,18.30,0.00,7.94
29,Alphaproteobacteria,41.07,10.27,0.00,18.75,9.38,20.54
30,Holometabola,20.81,52.29,0.00,19.17,0.00,7.73
31,Pseudomonadales,50.29,27.34,0.00,15.51,6.86,0.00
32,Crustacea,35.58,49.79,0.00,0.00,0.00,14.63
33,Multicrustacea,20.41,52.62,8.99,0.00,0.00,17.98
34,Actinomycetales,41.93,24.25,0.00,16.08,8.53,9.20
35,Actinomycetaceae,41.93,24.25,0.00,16.08,8.53,9.20
36,Chordata,21.13,53.56,0.00,8.30,0.00,17.01
37,Craniata,23.16,51.02,0.00,8.72,0.00,17.10
38,Vertebrata,23.16,51.02,0.00,8.72,0.00,17.10
39,Euteleostomi,23.06,50.20,0.00,8.43,0.00,18.31
40,Archelosauria,22.30,51.02,0.00,9.88,0.00,16.80
41,Archosauria,39.01,42.18,0.00,10.12,0.00,8.69
42,Dinosauria,30.29,51.11,0.00,9.81,0.00,8.78
43,Saurischia,30.29,51.11,0.00,9.81,0.00,8.78
44,Theropoda,30.29,51.11,0.00,9.81,0.00,8.78
45,Coelurosauria,30.29,51.11,0.00,9.81,0.00,8.78
46,Aves,30.29,51.11,0.00,9.81,0.00,8.78
47,Neognathae,39.42,41.77,0.00,18.81,0.00,0.00
48,Coriobacteriia,44.36,31.45,8.73,15.45,0.00,0.00
49,Lepidosauria,20.00,55.48,0.00,16.37,8.15,0.00
50,Squamata,20.00,55.48,0.00,16.37,8.15,0.00
51,Bifurcata,20.00,55.48,0.00,16.37,8.15,0.00
52,Gekkota,29.35,54.31,0.00,0.00,7.88,8.46
53,Gekkonidae,30.31,53.17,0.00,0.00,8.05,8.48
54,Lactobacillales,9.95,48.79,0.00,22.85,0.00,18.41
55,Viridiplantae,8.67,27.45,41.84,0.00,0.00,22.04
56,Streptophyta,8.92,28.76,39.98,0.00,0.00,22.34
57,Embryophyta,8.92,28.76,39.98,0.00,0.00,22.34
58,Tracheophyta,8.92,28.76,39.98,0.00,0.00,22.34
59,Spermatophyta,19.14,28.66,22.04,0.00,0.00,30.16
60,Mammalia,37.39,47.35,0.00,0.00,0.00,15.27
61,Eutheria,40.57,42.50,0.00,0.00,0.00,16.93
62,Gekkoninae,30.39,53.18,0.00,0.00,8.04,8.39
63,Cellvibrionales,35.57,19.12,0.00,45.31,0.00,0.00
64,Micrococcales,51.60,21.35,0.00,20.32,0.00,6.74
65,Microbacteriaceae,50.00,21.94,0.00,20.97,0.00,7.08
66,Oceanospirillales,37.26,24.07,0.00,38.68,0.00,0.00
67,Alteromonadales,34.33,19.59,0.00,36.97,9.11,0.00
68,Clostridiaceae,58.38,14.47,0.00,10.24,8.46,8.46
69,Laurasiatheria,39.44,44.42,0.00,8.03,0.00,8.12
70,Artiodactyla,28.05,56.50,0.00,8.27,7.18,0.00
71,Euarchontoglires,38.38,45.19,0.00,8.48,0.00,7.95
72,Glires,21.40,55.81,0.00,14.92,0.00,7.88
73,Rodentia,37.01,48.83,0.00,0.00,0.00,14.16
74,Actinopterygii,10.82,53.63,0.00,18.21,0.00,17.34
75,Neopterygii,19.63,51.85,0.00,8.78,0.00,19.74
76,Teleostei,21.99,51.42,0.00,7.61,0.00,18.98
77,Neoteleostei,19.82,52.27,0.00,9.70,0.00,18.21
78,Acanthomorphata,19.82,52.27,0.00,9.70,0.00,18.21
79,Ovalentaria,11.96,55.02,0.00,17.04,0.00,15.98
80,Atherinomorphae,11.73,64.01,8.19,8.41,0.00,7.67
81,Cyprinodontiformes,10.75,61.17,14.32,6.98,6.77,0.00
82,Passeriformes,20.81,54.40,0.00,17.53,0.00,7.25
83,Sar,40.67,12.08,8.81,18.79,0.00,19.66
84,Carnivora,25.08,56.86,0.00,9.15,0.00,8.91
85,Feliformia,19.16,56.39,0.00,15.13,0.00,9.33
86,Felidae,26.15,56.99,0.00,7.98,0.00,8.88
87,Ostariophysi,22.12,40.89,0.00,9.01,0.00,27.97
88,Cypriniformes,13.50,63.62,0.00,8.50,6.50,7.88
