,tname,hydrophobic,nucleophilic,aromatic,acidic,amide,basic
0,Bacteria,28.51,26.93,8.09,17.85,11.31,7.30
1,Proteobacteria,31.37,26.45,8.03,17.53,11.15,5.47
2,Betaproteobacteria,27.92,37.80,5.25,12.63,10.29,6.11
3,Burkholderiales,28.79,38.06,5.50,11.70,10.41,5.54
4,Firmicutes,29.88,18.57,6.95,16.91,13.49,14.21
5,Bacilli,28.59,20.89,10.52,15.11,9.04,15.85
6,Bacillales,26.75,19.61,12.46,19.19,9.38,12.61
7,Bacillaceae,27.06,19.08,12.45,19.35,9.74,12.31
8,Bacillus,27.00,16.65,13.50,21.37,8.32,13.16
9,Eukaryota,24.94,24.19,8.75,14.57,9.97,17.59
10,Clostridia,27.69,22.21,9.77,16.09,10.55,13.68
11,Clostridiales,27.44,22.44,9.46,14.70,13.45,12.51
12,Peptostreptococcaceae,27.94,16.62,10.70,15.65,11.32,17.77
13,Bacteroidetes,26.05,18.83,13.98,17.52,14.37,9.25
14,Flavobacteriia,21.94,18.34,14.36,20.91,14.29,10.16
15,Flavobacteriales,21.94,18.34,14.36,20.91,14.29,10.16
16,Flavobacteriaceae,24.01,18.83,14.62,21.19,13.13,8.23
17,Actinobacteria,26.37,27.19,7.37,17.69,7.37,14.00
18,Propionibacteriales,27.43,24.89,9.18,15.93,8.96,13.61
19,Propionibacteriaceae,27.79,21.04,9.80,18.35,11.33,11.69
20,Cutibacterium,26.68,23.80,8.64,14.20,9.98,16.70
21,Gammaproteobacteria,32.22,26.88,7.48,17.18,11.65,4.59
22,Metazoa,24.30,27.11,8.49,14.22,10.12,15.77
23,Ecdysozoa,15.60,34.77,6.84,20.51,8.83,13.44
24,Arthropoda,18.61,29.63,6.35,25.45,7.88,12.09
25,Hexapoda,21.62,24.71,7.15,22.24,10.83,13.45
26,Insecta,22.09,27.82,8.25,16.49,11.32,14.03
27,Pterygota,22.09,27.82,8.25,16.49,11.32,14.03
28,Neoptera,22.09,27.82,8.25,16.49,11.32,14.03
29,Alphaproteobacteria,26.02,18.22,7.81,17.84,15.61,14.50
30,Holometabola,21.01,28.52,7.36,18.75,10.55,13.79
31,Pseudomonadales,33.46,28.00,6.04,16.89,11.48,4.13
32,Crustacea,25.62,34.09,10.97,7.82,7.93,13.57
33,Multicrustacea,22.50,28.82,14.24,12.30,5.80,16.34
34,Actinomycetales,27.50,25.14,8.66,13.06,12.36,13.29
35,Actinomycetaceae,27.50,25.14,8.66,13.06,12.36,13.29
36,Chordata,23.02,30.37,8.16,13.81,8.47,16.17
37,Craniata,25.05,26.92,9.19,14.57,9.55,14.72
38,Vertebrata,25.05,26.92,9.19,14.57,9.55,14.72
39,Euteleostomi,23.84,27.11,8.77,14.28,9.15,16.85
40,Archelosauria,23.96,26.68,9.67,14.42,10.14,15.14
41,Archosauria,24.83,26.73,9.49,15.44,9.46,14.05
42,Dinosauria,24.95,27.62,8.84,15.58,9.33,13.68
43,Saurischia,24.95,27.62,8.84,15.58,9.33,13.68
44,Theropoda,24.95,27.62,8.84,15.58,9.33,13.68
45,Coelurosauria,24.95,27.62,8.84,15.58,9.33,13.68
46,Aves,24.95,27.62,8.84,15.58,9.33,13.68
47,Neognathae,25.17,26.26,9.56,15.96,9.53,13.52
48,Coriobacteriia,30.36,25.64,12.18,12.00,11.64,8.18
49,Lepidosauria,22.35,30.25,9.96,14.26,9.31,13.87
50,Squamata,22.35,30.25,9.96,14.26,9.31,13.87
51,Bifurcata,22.35,30.25,9.96,14.26,9.31,13.87
52,Gekkota,24.79,30.69,8.16,12.40,10.43,13.53
53,Gekkonidae,24.42,29.59,8.09,13.18,10.79,13.93
54,Lactobacillales,19.49,31.42,2.42,19.64,10.27,16.77
55,Viridiplantae,17.57,21.92,23.51,9.76,6.74,20.50
56,Streptophyta,18.44,23.29,22.48,9.89,5.49,20.41
57,Embryophyta,18.44,23.29,22.48,9.89,5.49,20.41
58,Tracheophyta,18.44,23.29,22.48,9.89,5.49,20.41
59,Spermatophyta,18.93,19.84,20.90,12.62,8.36,19.34
60,Mammalia,24.93,30.57,8.22,12.48,10.80,13.00
61,Eutheria,25.47,27.11,9.35,14.29,9.89,13.88
62,Gekkoninae,24.26,29.88,8.11,12.95,11.00,13.81
63,Cellvibrionales,24.00,18.48,9.47,28.94,12.14,6.97
64,Micrococcales,29.69,22.96,10.26,17.99,6.95,12.14
65,Microbacteriaceae,30.13,23.48,10.18,17.82,7.50,10.89
66,Oceanospirillales,25.05,23.40,10.63,24.65,10.36,5.92
67,Alteromonadales,28.12,16.94,11.35,24.95,13.51,5.12
68,Clostridiaceae,30.58,20.87,9.79,14.64,11.41,12.70
69,Laurasiatheria,25.21,28.66,8.88,14.27,9.81,13.17
70,Artiodactyla,24.33,33.60,8.74,12.43,9.20,11.70
71,Euarchontoglires,26.34,29.33,9.19,12.97,9.59,12.58
72,Glires,25.21,32.02,7.94,11.74,10.53,12.57
73,Rodentia,26.18,33.07,8.05,10.94,9.60,12.14
74,Actinopterygii,18.90,29.05,7.29,18.22,8.97,17.58
75,Neopterygii,20.43,27.07,7.90,16.04,10.00,18.56
76,Teleostei,21.91,29.57,8.60,13.09,8.82,18.02
77,Neoteleostei,20.65,26.54,9.86,16.72,9.04,17.19
78,Acanthomorphata,20.65,26.54,9.86,16.72,9.04,17.19
79,Ovalentaria,19.36,28.91,9.93,16.07,9.49,16.24
80,Atherinomorphae,20.95,31.35,9.34,14.34,10.14,13.88
81,Cyprinodontiformes,18.75,33.11,13.95,11.52,11.78,10.90
82,Passeriformes,23.55,31.43,7.75,16.22,8.59,12.46
83,Sar,23.29,19.51,12.00,17.75,11.16,16.28
84,Carnivora,21.87,32.85,8.52,14.12,9.44,13.20
85,Feliformia,21.38,32.65,9.40,13.70,9.40,13.47
86,Felidae,22.02,32.84,8.81,13.68,9.35,13.29
87,Ostariophysi,21.55,26.81,9.57,13.19,6.55,22.33
88,Cypriniformes,21.78,32.23,8.50,14.76,9.45,13.28
89,Galloanserae,24.34,25.52,10.46,16.39,9.41,13.88
90,Caulobacterales,25.98,15.71,10.27,17.52,15.41,15.11
91,Caulobacteraceae,25.98,15.71,10.27,17.52,15.41,15.11
92,Chelicerata,15.38,38.85,9.98,12.32,10.88,12.59
93,Arachnida,15.34,34.44,13.23,12.48,11.43,13.08
94,Deltaproteobacteria,19.80,27.69,7.55,25.51,10.82,8.64
95,Myxococcales,22.69,23.73,7.61,28.51,8.36,9.10
96,Cystobacterineae,25.95,26.87,7.18,20.15,8.70,11.15
97,Protacanthopterygii,24.25,30.38,11.15,13.89,8.16,12.17
98,Salmoniformes,24.53,34.09,11.59,11.76,7.11,10.91
99,Salmonidae,24.53,34.09,11.59,11.76,7.11,10.91
100,Salmoninae,24.53,34.09,11.59,11.76,7.11,10.91
101,Spiralia,20.16,29.99,24.63,6.52,7.01,11.68
102,Lophotrochozoa,20.16,29.99,24.63,6.52,7.01,11.68
103,Mollusca,27.60,27.81,25.18,3.64,3.54,12.23
104,Bivalvia,29.55,31.85,25.02,2.61,2.76,8.21
105,Autobranchia,29.55,31.85,25.02,2.61,2.76,8.21
106,Pteriomorphia,29.55,31.85,25.02,2.61,2.76,8.21
107,Mytiloida,13.48,20.97,19.53,3.09,5.65,37.28
108,Mytiloidea,13.48,20.97,19.53,3.09,5.65,37.28
109,Mytilidae,13.48,20.97,19.53,3.09,5.65,37.28
110,Mytilinae,13.48,20.97,19.53,3.09,5.65,37.28
111,Alveolata,20.98,19.48,19.92,14.82,9.10,15.70
112,Apicomplexa,22.76,20.23,12.24,16.72,10.87,17.19
113,Aconoidasida,20.89,19.41,11.43,16.72,15.68,15.88
114,Piroplasmida,25.30,18.99,13.20,18.70,9.81,14.00
115,Babesiidae,21.67,21.11,8.80,22.57,9.71,16.14
116,Babesia,21.67,21.11,8.80,22.57,9.71,16.14
117,Cetacea,22.92,33.78,7.72,15.11,8.96,11.51
118,Whippomorpha,22.10,34.56,7.97,15.04,8.58,11.76
119,Eupercaria,19.96,31.46,7.78,14.08,10.47,16.24
120,Odontoceti,23.17,34.36,7.81,16.10,7.81,10.75
121,Conoidasida,24.64,27.49,9.84,14.89,9.18,13.97
122,Coccidia,24.64,27.49,9.84,14.89,9.18,13.97
123,Eucoccidiorida,24.64,27.49,9.84,14.89,9.18,13.97
124,Eimeriorina,24.64,27.49,9.84,14.89,9.18,13.97
125,Sarcocystidae,26.50,23.94,10.22,15.77,8.59,14.98
126,Chiroptera,22.99,30.83,9.02,16.86,8.28,12.01
127,Microchiroptera,23.41,33.66,8.49,14.80,8.67,10.98
128,Vespertilionidae,24.25,33.39,8.66,15.05,8.06,10.57
129,Ruminantia,24.41,31.85,8.07,13.33,9.01,13.33
130,Pecora,24.41,31.85,8.07,13.33,9.01,13.33
131,Bovidae,22.68,31.39,8.26,13.70,10.21,13.75
132,Bovinae,24.41,30.43,7.85,12.85,11.24,13.23
133,Myomorpha,25.36,29.68,7.85,13.55,9.54,14.02
134,Muroidea,26.42,28.43,9.96,14.07,9.24,11.87
135,Muridae,25.85,25.90,8.29,14.25,10.71,15.00
136,Murinae,26.55,26.87,8.49,14.46,10.63,13.00
137,Perciformes,17.32,24.61,9.72,18.10,13.95,16.30
138,Primates,26.26,26.03,8.49,14.67,10.69,13.87
139,Haplorrhini,25.65,27.05,8.97,14.07,10.40,13.86
140,Catarrhini,24.20,27.67,8.82,14.01,10.61,14.69
141,Cercopithecidae,23.37,27.77,8.55,15.64,10.32,14.36
142,Hominidae,25.66,26.30,9.74,15.23,10.34,12.72
143,Brevundimonas,25.32,18.35,13.29,14.56,18.99,9.49
144,Enterobacterales,26.96,34.01,8.13,9.50,14.05,7.35
145,Unidentata,22.83,30.42,10.14,15.54,9.70,11.38
146,Episquamata,23.19,30.27,9.77,15.24,9.56,11.96
147,Cichlomorphae,19.78,33.78,12.43,11.54,10.19,12.28
148,Cichliformes,19.78,33.78,12.43,11.54,10.19,12.28
149,Cichlidae,19.78,33.78,12.43,11.54,10.19,12.28
150,Enterobacteriaceae,31.73,16.97,13.28,11.07,14.02,12.92
151,Mytilus,16.31,18.59,16.67,4.56,7.19,36.68
152,Caniformia,22.00,33.76,8.80,14.21,8.88,12.35
153,Archaea,20.23,19.75,10.08,28.95,10.83,10.15
154,Peptococcaceae,29.20,27.87,10.30,12.10,12.22,8.31
155,Desulfosporosinus,31.25,28.29,9.92,10.63,11.73,8.18
156,Caulobacter,26.44,16.59,8.89,17.07,14.66,16.35
157,Galliformes,25.62,28.97,9.38,14.73,9.45,11.85
158,Oncorhynchus,23.14,34.36,11.74,9.90,8.68,12.18
159,Clostridioides,26.93,19.67,9.93,14.89,13.42,15.17
160,Clostridium,24.48,23.28,10.09,15.38,14.19,12.59
161,Lactobacillaceae,13.34,35.37,3.21,21.82,8.27,17.99
162,Myxococcaceae,26.79,26.66,8.36,18.70,9.28,10.21
163,Cercopithecinae,23.47,28.20,8.44,15.61,10.03,14.25
164,Hystricomorpha,23.89,31.34,9.71,12.51,9.65,12.91
165,Desulfitobacterium,30.40,26.70,12.25,11.63,12.42,6.61
166,Nitriliruptoria,26.84,24.79,8.23,25.47,6.43,8.23
167,Streptomycetales,26.82,30.04,12.88,11.59,7.51,11.16
168,Streptomycetaceae,27.39,26.56,13.69,14.11,6.02,12.24
169,Vibrionales,23.81,20.56,13.40,23.42,10.61,8.20
170,Vibrionaceae,23.81,20.56,13.40,23.42,10.61,8.20
171,Escherichia,29.09,18.84,15.21,11.40,10.91,14.55
172,Euzebyales,27.12,25.31,10.02,21.53,7.07,8.96
173,unclassified Euzebya,28.40,26.90,7.74,21.04,6.84,9.09
174,Tissierellia,26.97,13.00,13.42,17.81,10.97,17.84
175,Tissierellales,26.18,14.28,12.92,17.61,10.78,18.24
176,Peptoniphilaceae,26.73,12.95,12.82,18.29,10.81,18.41
177,Finegoldia,27.03,14.10,12.55,17.32,11.34,17.67
178,Haemosporida,19.98,18.29,11.71,16.31,17.47,16.25
179,Plasmodiidae,19.98,18.29,11.71,16.31,17.47,16.25
180,Herbiconiux,31.23,25.86,11.32,16.69,6.44,8.46
181,Mus,26.93,27.28,9.70,13.95,9.70,12.44
182,Homo,24.32,26.80,10.63,14.40,11.04,12.81
183,Planococcaceae,31.52,20.54,11.37,15.25,9.17,12.14
184,Kineosporiales,29.59,34.25,5.48,15.62,8.22,6.85
185,Kineosporiaceae,29.59,34.25,5.48,15.62,8.22,6.85
186,Lacticaseibacillus,15.03,33.61,3.01,21.04,9.70,17.62
187,Leifsonia,27.03,25.59,12.79,15.86,7.21,11.53
188,Plasmodium,22.13,18.02,11.96,16.00,15.19,16.70
189,Plasmodium (Laverania),20.51,13.63,9.34,20.55,14.24,21.74
