,Eukaryota,Metazoa,Chordata,Craniata,Vertebrata,Euteleostomi,Mammalia,Eutheria,Euarchontoglires,Primates,Haplorrhini,Catarrhini,Hominidae,Homo,Mus,Glires,Rodentia,Myomorpha,Muroidea,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Total_25_stack
hydrophobic - acidic,0.10290237467018469,0.11254944264653002,0.12934362934362933,0.12934362934362933,0.12934362934362933,0.12934362934362933,0.11488095238095238,0.11488095238095238,0.11900264450321119,0.11133069828722003,0.11133069828722003,0.11133069828722003,0.11125697407285855,0.11198361215431887,0.10382814651611126,0.12615030674846625,0.12615030674846625,0.12615030674846625,0.12615030674846625,0.09057527539779682,0.04180064308681672,0.04180064308681672,0.04180064308681672,0.04180064308681672,0.04180064308681672,0.11443846403930209
nucleophilic - hydrophobic,0.10524772793902082,0.11758360302049622,0.10086872586872588,0.10086872586872588,0.10086872586872588,0.10086872586872588,0.1193452380952381,0.1193452380952381,0.11220249338874197,0.11791831357048749,0.11791831357048749,0.11791831357048749,0.11519527404003939,0.11505633321952885,0.12117873863949326,0.11503067484662577,0.11503067484662577,0.11503067484662577,0.11503067484662577,0.12484700122399021,0.09967845659163987,0.09967845659163987,0.09967845659163987,0.09967845659163987,0.09967845659163987,0.11342701296824766
hydrophobic - basic,0.10290237467018469,0.10140237324703344,0.1167953667953668,0.1167953667953668,0.1167953667953668,0.1167953667953668,0.09613095238095239,0.09613095238095239,0.1038911975821685,0.1080368906455863,0.1080368906455863,0.1080368906455863,0.10797505743354119,0.11437350631614886,0.1010740842743046,0.10161042944785276,0.10161042944785276,0.10161042944785276,0.10161042944785276,0.10893512851897184,0.1382636655948553,0.1382636655948553,0.1382636655948553,0.1382636655948553,0.1382636655948553,0.10658165661236138
hydrophobic - hydrophobic,0.0911756083260041,0.11686443725278677,0.1085907335907336,0.1085907335907336,0.1085907335907336,0.1085907335907336,0.09523809523809523,0.09523809523809523,0.11749149981110692,0.10243741765480896,0.10243741765480896,0.10243741765480896,0.10239579914670167,0.09627859337657904,0.10217570917102727,0.10927914110429447,0.10927914110429447,0.10927914110429447,0.10927914110429447,0.11260709914320685,0.0932475884244373,0.0932475884244373,0.0932475884244373,0.0932475884244373,0.0932475884244373,0.10407109056099412
hydrophobic - amide,0.07475813544415127,0.05753326141675656,0.0719111969111969,0.0719111969111969,0.0719111969111969,0.0719111969111969,0.06994047619047619,0.06994047619047619,0.0634680770683793,0.07048748353096179,0.07048748353096179,0.07048748353096179,0.07154578273711848,0.07135541140320929,0.06747452492426328,0.07246932515337423,0.07246932515337423,0.07246932515337423,0.07246932515337423,0.06854345165238677,0.08038585209003216,0.08038585209003216,0.08038585209003216,0.08038585209003216,0.08038585209003216,0.07044034244843406
acidic - basic,0.06508355321020229,0.05825242718446602,0.061293436293436296,0.061293436293436296,0.061293436293436296,0.061293436293436296,0.05654761904761905,0.05654761904761905,0.05213449187759728,0.056982872200263504,0.056982872200263504,0.056982872200263504,0.05743354118805382,0.05701604643222943,0.05150096392178463,0.056365030674846626,0.056365030674846626,0.056365030674846626,0.056365030674846626,0.037943696450428395,0.01929260450160772,0.01929260450160772,0.01929260450160772,0.01929260450160772,0.01929260450160772,0.05611747281725247
nucleophilic - basic,0.05716798592788039,0.05609492988133765,0.04247104247104247,0.04247104247104247,0.04247104247104247,0.04247104247104247,0.05952380952380952,0.05952380952380952,0.055156781261805815,0.056982872200263504,0.056982872200263504,0.056982872200263504,0.06038726616343945,0.061113007852509386,0.06114018176810796,0.056365030674846626,0.056365030674846626,0.056365030674846626,0.056365030674846626,0.044063647490820076,0.03858520900321544,0.03858520900321544,0.03858520900321544,0.03858520900321544,0.03858520900321544,0.054853158978434416
nucleophilic - acidic,0.0595133391967165,0.05285868392664509,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.06130952380952381,0.06130952380952381,0.04948998866641481,0.04084321475625823,0.04084321475625823,0.04084321475625823,0.04003938299967181,0.0399453738477296,0.057009088405397965,0.057515337423312884,0.057515337423312884,0.057515337423312884,0.057515337423312884,0.037943696450428395,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.04909150019867789
hydrophobic - aromatic,0.03840515977719144,0.04566702624955052,0.03957528957528957,0.03957528957528957,0.03957528957528957,0.03957528957528957,0.03571428571428571,0.03571428571428571,0.04948998866641481,0.03985507246376811,0.03985507246376811,0.03985507246376811,0.041352149655398754,0.04096961420279959,0.04792068300743597,0.04217791411042945,0.04217791411042945,0.04217791411042945,0.04217791411042945,0.06976744186046512,0.04823151125401929,0.04823151125401929,0.04823151125401929,0.04823151125401929,0.04823151125401929,0.04175847993353322
amide - basic,0.03605980650835532,0.025170801869830995,0.037644787644787646,0.037644787644787646,0.037644787644787646,0.037644787644787646,0.028273809523809524,0.028273809523809524,0.024933887419720437,0.03359683794466403,0.03359683794466403,0.03359683794466403,0.035444699704627505,0.03618982587913964,0.03277334067749931,0.03872699386503067,0.03872699386503067,0.03872699386503067,0.03872699386503067,0.033047735618115054,0.06109324758842444,0.06109324758842444,0.06109324758842444,0.06109324758842444,0.06109324758842444,0.03478669219376513
nucleophilic - amide,0.03488712987393726,0.03380079108234448,0.02557915057915058,0.02557915057915058,0.02557915057915058,0.02557915057915058,0.03363095238095238,0.03363095238095238,0.03324518322629392,0.03392621870882741,0.03392621870882741,0.03392621870882741,0.03413193304890056,0.03414134516899966,0.039658496282015974,0.03067484662576687,0.03067484662576687,0.03067484662576687,0.03067484662576687,0.03182374541003672,0.06109324758842444,0.06109324758842444,0.06109324758842444,0.06109324758842444,0.06109324758842444,0.03317920745583933
acidic - amide,0.0337144532395192,0.03380079108234448,0.036196911196911194,0.036196911196911194,0.036196911196911194,0.036196911196911194,0.035416666666666666,0.035416666666666666,0.035889686437476385,0.037220026350461136,0.037220026350461136,0.037220026350461136,0.037085658024286185,0.03414134516899966,0.030845497108234646,0.02799079754601227,0.02799079754601227,0.02799079754601227,0.02799079754601227,0.0073439412484700125,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.0326734819203121
nucleophilic - nucleophilic,0.03518029903254178,0.034519956850053934,0.029922779922779922,0.029922779922779922,0.029922779922779922,0.029922779922779922,0.03958333333333333,0.03958333333333333,0.03400075557234605,0.029973649538866932,0.029973649538866932,0.029973649538866932,0.02822448309812931,0.030385797200409695,0.039658496282015974,0.030291411042944784,0.030291411042944784,0.030291411042944784,0.030291411042944784,0.025703794369645042,0.022508038585209004,0.022508038585209004,0.022508038585209004,0.022508038585209004,0.022508038585209004,0.032221941263591375
acidic - acidic,0.026971562591615362,0.025889967637540454,0.037162162162162164,0.037162162162162164,0.037162162162162164,0.037162162162162164,0.029166666666666667,0.029166666666666667,0.03853418964865886,0.03392621870882741,0.03392621870882741,0.03392621870882741,0.03380374138496882,0.03277569136223967,0.02671440374552465,0.029141104294478526,0.029141104294478526,0.029141104294478526,0.029141104294478526,0.022031823745410038,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.003215434083601286,0.030740887909547376
basic - basic,0.03224860744649663,0.029485796476087737,0.022683397683397683,0.022683397683397683,0.022683397683397683,0.022683397683397683,0.02738095238095238,0.02738095238095238,0.020022667170381564,0.023715415019762844,0.023715415019762844,0.023715415019762844,0.02395799146701674,0.02424035506998976,0.026163591297163315,0.02147239263803681,0.02147239263803681,0.02147239263803681,0.02147239263803681,0.030599755201958383,0.05144694533762058,0.05144694533762058,0.05144694533762058,0.05144694533762058,0.05144694533762058,0.025304338402629772
nucleophilic - aromatic,0.028144239226033423,0.028047464940668825,0.02413127413127413,0.02413127413127413,0.02413127413127413,0.02413127413127413,0.027976190476190477,0.027976190476190477,0.02342274272761617,0.021080368906455864,0.021080368906455864,0.021080368906455864,0.020019691499835904,0.0201433936497098,0.02340952905535665,0.02338957055214724,0.02338957055214724,0.02338957055214724,0.02338957055214724,0.037943696450428395,0.04501607717041801,0.04501607717041801,0.04501607717041801,0.04501607717041801,0.04501607717041801,0.02467218148322075
aromatic - basic,0.02316036352975667,0.02229413879899317,0.02171814671814672,0.02171814671814672,0.02171814671814672,0.02171814671814672,0.018452380952380953,0.018452380952380953,0.01775595013222516,0.027338603425559948,0.027338603425559948,0.027338603425559948,0.026583524778470626,0.02526459542505975,0.018176810795923988,0.015337423312883436,0.015337423312883436,0.015337423312883436,0.015337423312883436,0.04528763769889841,0.08681672025723473,0.08681672025723473,0.08681672025723473,0.08681672025723473,0.08681672025723473,0.023371744391865044
aromatic - acidic,0.017883318674875404,0.018338727076591153,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.01904761904761905,0.01904761904761905,0.017000377786173027,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.02133245815556285,0.02321611471491977,0.01735059212338199,0.01687116564417178,0.01687116564417178,0.01687116564417178,0.01687116564417178,0.03182374541003672,0.01929260450160772,0.01929260450160772,0.01929260450160772,0.01929260450160772,0.01929260450160772,0.019488494744066755
aromatic - amide,0.01465845793022574,0.013664149586479683,0.014961389961389961,0.014961389961389961,0.014961389961389961,0.014961389961389961,0.011904761904761904,0.011904761904761904,0.013978088401964487,0.01383399209486166,0.01383399209486166,0.01383399209486166,0.013455858221201182,0.012632297712529874,0.013770311209033324,0.01495398773006135,0.01495398773006135,0.01495398773006135,0.01495398773006135,0.01591187270501836,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.014304808004912762
amide - amide,0.012019935502785108,0.010787486515641856,0.010617760617760617,0.010617760617760617,0.010617760617760617,0.010617760617760617,0.016964285714285713,0.016964285714285713,0.012089157536834151,0.012516469038208168,0.012516469038208168,0.012516469038208168,0.0118148999015425,0.011608057357459884,0.011291655191407325,0.011503067484662576,0.011503067484662576,0.011503067484662576,0.011503067484662576,0.011015911872705019,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.012625076761911642
